distance_cm,fill_level_cm,fill_percent,status,green_led,red_led,buzzer
30.0,0.0,0,OK,ON,OFF,SILENT
29.5,0.5,2,OK,ON,OFF,SILENT
29.0,1.0,3,OK,ON,OFF,SILENT
28.5,1.5,5,OK,ON,OFF,SILENT
28.0,2.0,7,OK,ON,OFF,SILENT
27.5,2.5,8,OK,ON,OFF,SILENT
27.0,3.0,10,OK,ON,OFF,SILENT
26.5,3.5,12,OK,ON,OFF,SILENT
26.0,4.0,13,OK,ON,OFF,SILENT
25.5,4.5,15,OK,ON,OFF,SILENT
25.0,5.0,17,OK,ON,OFF,SILENT
24.5,5.5,18,OK,ON,OFF,SILENT
24.0,6.0,20,OK,ON,OFF,SILENT
23.5,6.5,22,OK,ON,OFF,SILENT
23.0,7.0,23,OK,ON,OFF,SILENT
22.5,7.5,25,OK,ON,OFF,SILENT
22.0,8.0,27,OK,ON,OFF,SILENT
21.5,8.5,28,OK,ON,OFF,SILENT
21.0,9.0,30,OK,ON,OFF,SILENT
20.5,9.5,32,OK,ON,OFF,SILENT
20.0,10.0,33,OK,ON,OFF,SILENT
19.5,10.5,35,OK,ON,OFF,SILENT
19.0,11.0,37,OK,ON,OFF,SILENT
18.5,11.5,38,OK,ON,OFF,SILENT
18.0,12.0,40,OK,ON,OFF,SILENT
17.5,12.5,42,OK,ON,OFF,SILENT
17.0,13.0,43,OK,ON,OFF,SILENT
16.5,13.5,45,OK,ON,OFF,SILENT
16.0,14.0,47,OK,ON,OFF,SILENT
15.5,14.5,48,OK,ON,OFF,SILENT
15.0,15.0,50,OK,ON,OFF,SILENT
14.5,15.5,52,OK,ON,OFF,SILENT
14.0,16.0,53,OK,ON,OFF,SILENT
13.5,16.5,55,OK,ON,OFF,SILENT
13.0,17.0,57,OK,ON,OFF,SILENT
12.5,17.5,58,OK,ON,OFF,SILENT
12.0,18.0,60,OK,ON,OFF,SILENT
11.5,18.5,62,OK,ON,OFF,SILENT
11.0,19.0,63,OK,ON,OFF,SILENT
10.5,19.5,65,OK,ON,OFF,SILENT
10.0,20.0,67,OK,ON,OFF,SILENT
9.5,20.5,68,OK,ON,OFF,SILENT
9.0,21.0,70,OK,ON,OFF,SILENT
8.5,21.5,72,OK,ON,OFF,SILENT
8.0,22.0,73,OK,ON,OFF,SILENT
7.5,22.5,75,WARNING,ON,BLINK,SILENT
7.0,23.0,77,WARNING,ON,BLINK,SILENT
6.5,23.5,78,WARNING,ON,BLINK,SILENT
6.0,24.0,80,WARNING,ON,BLINK,SILENT
5.5,24.5,82,WARNING,ON,BLINK,SILENT
5.0,25.0,83,WARNING,ON,BLINK,SILENT
4.5,25.5,85,WARNING,ON,BLINK,SILENT
4.0,26.0,87,WARNING,ON,BLINK,SILENT
3.5,26.5,88,WARNING,ON,BLINK,SILENT
3.0,27.0,90,FULL,OFF,SOLID,CHIRP
2.5,27.5,92,FULL,OFF,SOLID,CHIRP
2.0,28.0,93,FULL,OFF,SOLID,CHIRP
1.5,28.5,95,FULL,OFF,SOLID,CHIRP
1.0,29.0,97,FULL,OFF,SOLID,CHIRP
0.5,29.5,98,FULL,OFF,SOLID,CHIRP
0.0,30.0,100,FULL,OFF,SOLID,CHIRP
